2024-05-10 19:32:10.022 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:33.477 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:33.477 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:33.511 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:33.511 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:33.531 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:33.531 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:35.183 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:35.183 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:35.202 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:35.202 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:35.309 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:35.309 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:36.456 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:36.456 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:32:36.586 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:32:36.586 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:34:15.552 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:34:15.573 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:34:15.625 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:34:15.625 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
2024-05-10 19:34:16.994 +02:00 [WRN] 'Depth' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.SelectedItem'
2024-05-10 19:34:16.994 +02:00 [WRN] 'DepthsOptions' property not found on 'Element', target property: 'Microsoft.Maui.Controls.Picker.ItemsSource'
